Name,Slug,Description,Hero Image,Published,Featured,Order,Products,Products 2
New Arrivals,new-arrivals,"The latest additions to our curated catalogue, refreshed regularly to keep your gifting choices current and on-trend.",,checked,,1,,"TBG-HAM-73,TBG-HAM-74,TBG-HAM-75,TBG-HAM-77,TBG-HAM-78,TBG-HAM-79,TBG-HAM-80,TBG-HAM-86,TBG-HAM-92,TBG-HAM-94,TBG-HAM-95"
Best Sellers,best-sellers,"Our most requested gifts, chosen again and again by businesses for their consistent quality and universal appeal.",,checked,,2,"TBG-COMBO-53,TBG-COMBO-51,TBG-COMBO-56,TBG-DIA-001,TBG-COMBO-52,TBG-COMBO-50,TBG-COMBO-62,TBG-DIA-011,TBG-DIA-009,TBG-COMBO-54,TBG-DIA-012,TBG-COMBO-55,TBG-DIA-008,TBG-DIA-010,TBG-DIA-006","TBG-DIA-001,TBG-DIA-006,TBG-DIA-008,TBG-DIA-009,TBG-DIA-010,TBG-DIA-011,TBG-DIA-012,TBG-COMBO-50,TBG-COMBO-51,TBG-COMBO-52,TBG-COMBO-53,TBG-COMBO-54,TBG-COMBO-55,TBG-COMBO-56,TBG-COMBO-62,TBG-HAM-76,TBG-HAM-80,TBG-HAM-81,TBG-HAM-88,TBG-HAM-89,TBG-HAM-91"
Premium Picks,premium-picks,Luxury gifting for executive moments.,,checked,,3,"TBG-COMBO-61,TBG-PEN-049,TBG-ORG-25,TBG-PEN-058,TBG-PEN-051,TBG-PEN-047,TBG-ORG-21,TBG-PEN-057,TBG-ORG-23,TBG-PEN-050,TBG-DIA-16,TBG-PEN-048,TBG-DIA-002,TBG-COMBO-57,TBG-DIA-18,TBG-PEN-035,TBG-ORG-22,TBG-DIA-13,TBG-COMBO-58,TBG-DIA-14,TBG-PEN-056,TBG-DIA-15,TBG-PEN-054,TBG-ORG-24,TBG-PEN-055,TBG-PEN-052,TBG-DIA-003,TBG-DIA-20,TBG-DIA-17,TBG-PEN-053,TBG-PEN-046,TBG-DIA-19","TBG-DIA-002,TBG-DIA-003,TBG-PEN-035,TBG-PEN-046,TBG-PEN-047,TBG-PEN-048,TBG-PEN-049,TBG-PEN-050,TBG-PEN-051,TBG-PEN-052,TBG-PEN-053,TBG-PEN-054,TBG-PEN-055,TBG-PEN-056,TBG-PEN-057,TBG-PEN-058,TBG-DIA-13,TBG-DIA-14,TBG-DIA-15,TBG-DIA-16,TBG-DIA-17,TBG-DIA-18,TBG-DIA-19,TBG-DIA-20,TBG-ORG-21,TBG-ORG-22,TBG-ORG-23,TBG-ORG-24,TBG-ORG-25,TBG-COMBO-57,TBG-COMBO-58,TBG-COMBO-61,TBG-HAM-79,TBG-HAM-84,TBG-HAM-85,TBG-HAM-87,TBG-HAM-88,TBG-HAM-90,TBG-HAM-93,TBG-HAM-94,TBG-HAM-95"
Budget Gifting,budget-gifting,Thoughtful gifting options designed to deliver impact and quality without stretching your budget.,,checked,,4,"TBG-CMUG-44,TBG-CMUG-45,TBG-PEN-018,TBG-CMUG-47,TBG-PEN-042,TBG-CMUG-48,TBG-PEN-037,TBG-PEN-043,TBG-PEN-022,TBG-CH-29,TBG-BOT-34,TBG-PEN-030,TBG-DIA-004,TBG-PEN-044,TBG-CH-28,TBG-DIA-005,TBG-BOT-35,TBG-PEN-025,TBG-BOT-41,TBG-BOT-40,TBG-BOT-37,TBG-DIA-007,TBG-PEN-032,TBG-CMUG-43,TBG-CMUG-49,TBG-CH-32,TBG-DIA-001,TBG-CMUG-46,TBG-CH-27,TBG-PEN-024,TBG-PEN-017,TBG-BOT-39,TBG-PEN-013,TBG-PEN-027,TBG-CH-26,TBG-PEN-015,TBG-PEN-031,TBG-PEN-016,TBG-PEN-029,TBG-COMBO-59,TBG-PEN-059,TBG-PEN-020,TBG-PEN-023,TBG-CH-31,TBG-PEN-039,TBG-PEN-026,TBG-PEN-040,TBG-CH-30,TBG-COMBO-60,TBG-PEN-045,TBG-PEN-041,TBG-PEN-021,TBG-PEN-019,TBG-CH-33,TBG-PEN-038,TBG-PEN-028,TBG-PEN-034,TBG-BOT-38,TBG-PEN-036,TBG-PEN-060,TBG-PEN-033,TBG-PEN-014,TBG-CMUG-42","TBG-DIA-001,TBG-DIA-004,TBG-DIA-005,TBG-DIA-007,TBG-PEN-013,TBG-PEN-014,TBG-PEN-015,TBG-PEN-016,TBG-PEN-017,TBG-PEN-018,TBG-PEN-019,TBG-PEN-020,TBG-PEN-021,TBG-PEN-022,TBG-PEN-023,TBG-PEN-024,TBG-PEN-025,TBG-PEN-026,TBG-PEN-027,TBG-PEN-028,TBG-PEN-029,TBG-PEN-030,TBG-PEN-031,TBG-PEN-032,TBG-PEN-033,TBG-PEN-034,TBG-PEN-036,TBG-PEN-037,TBG-PEN-038,TBG-PEN-039,TBG-PEN-040,TBG-PEN-041,TBG-PEN-042,TBG-PEN-043,TBG-PEN-044,TBG-PEN-045,TBG-PEN-059,TBG-PEN-060,TBG-CH-26,TBG-CH-27,TBG-CH-28,TBG-CH-29,TBG-CH-30,TBG-CH-31,TBG-CH-32,TBG-CH-33,TBG-BOT-34,TBG-BOT-35,TBG-BOT-37,TBG-BOT-38,TBG-BOT-39,TBG-BOT-40,TBG-BOT-41,TBG-CMUG-42,TBG-CMUG-43,TBG-CMUG-44,TBG-CMUG-45,TBG-CMUG-46,TBG-CMUG-47,TBG-CMUG-48,TBG-CMUG-49,TBG-COMBO-59,TBG-COMBO-60,TBG-HAM-77,TBG-HAM-75,TBG-HAM-82,TBG-HAM-83,TBG-HAM-89"
Trending Products,trending-products,"Gifts gaining momentum with our clients right now, reflecting what's currently in demand across corporate gifting.",,checked,,5,"TBG-PEN-058,TBG-PEN-057,TBG-DIA-011,TBG-DIA-009,TBG-DIA-012,TBG-DIA-008,TBG-DIA-010,TBG-DIA-006","TBG-DIA-006,TBG-DIA-008,TBG-DIA-009,TBG-DIA-010,TBG-DIA-011,TBG-DIA-012,TBG-PEN-057,TBG-PEN-058,TBG-HAM-73,TBG-HAM-74"
Sustainable Choices,sustainable-choices,"Eco-conscious gifts crafted from responsible materials, for brands that want their gifting to reflect their values.",,checked,,6,"TBG-BAG-68,TBG-PEN-058,TBG-BAG-69,TBG-BAG-70,TBG-PEN-057,TBG-BAG-72,TBG-BAG-64,TBG-BAG-65,TBG-DIA-011,TBG-DIA-012,TBG-BAG-63,TBG-BAG-71","TBG-DIA-011,TBG-DIA-012,TBG-PEN-057,TBG-PEN-058,TBG-BAG-63,TBG-BAG-64,TBG-BAG-65,TBG-BAG-68,TBG-BAG-69,TBG-BAG-70,TBG-BAG-71,TBG-BAG-72"
Staff Favorites,staff-favorites,"Hand-picked by our team for their quality, presentation and consistently positive feedback from recipients.",,checked,,7,,
Under ₹500,under-500,Quality corporate gifts priced to make large-scale gifting programmes easy on the budget.,,checked,,8,"TBG-CMUG-44,TBG-PEN-049,TBG-CMUG-45,TBG-PEN-058,TBG-PEN-051,TBG-PEN-018,TBG-CMUG-47,TBG-PEN-042,TBG-PEN-047,TBG-CMUG-48,TBG-PEN-037,TBG-PEN-043,TBG-PEN-022,TBG-CH-29,TBG-PEN-057,TBG-BOT-34,TBG-DIA-004,TBG-PEN-044,TBG-CH-28,TBG-DIA-005,TBG-BOT-35,TBG-PEN-025,TBG-BOT-41,TBG-PEN-050,TBG-BOT-40,TBG-BOT-37,TBG-PEN-048,TBG-DIA-007,TBG-DIA-002,TBG-PEN-032,TBG-CMUG-43,TBG-CMUG-49,TBG-CH-32,TBG-DIA-001,TBG-CMUG-46,TBG-CH-27,TBG-PEN-035,TBG-PEN-024,TBG-PEN-017,TBG-BOT-39,TBG-PEN-013,TBG-CH-26,TBG-PEN-015,TBG-PEN-031,TBG-PEN-016,TBG-PEN-056,TBG-PEN-029,TBG-DIA-011,TBG-DIA-009,TBG-PEN-054,TBG-PEN-059,TBG-DIA-012,TBG-PEN-020,TBG-PEN-023,TBG-CH-31,TBG-PEN-039,TBG-PEN-026,TBG-PEN-040,TBG-CH-30,TBG-PEN-055,TBG-PEN-045,TBG-DIA-003,TBG-PEN-041,TBG-PEN-021,TBG-PEN-019,TBG-DIA-008,TBG-CH-33,TBG-PEN-038,TBG-PEN-028,TBG-BOT-38,TBG-PEN-036,TBG-PEN-053,TBG-DIA-010,TBG-DIA-006,TBG-PEN-046,TBG-PEN-060,TBG-PEN-033,TBG-PEN-014,TBG-CMUG-42","TBG-DIA-002,TBG-DIA-001,TBG-DIA-003,TBG-DIA-004,TBG-DIA-005,TBG-DIA-006,TBG-DIA-007,TBG-DIA-008,TBG-DIA-009,TBG-DIA-010,TBG-DIA-011,TBG-DIA-012,TBG-PEN-013,TBG-PEN-014,TBG-PEN-015,TBG-PEN-016,TBG-PEN-017,TBG-PEN-018,TBG-PEN-019,TBG-PEN-020,TBG-PEN-021,TBG-PEN-022,TBG-PEN-023,TBG-PEN-024,TBG-PEN-025,TBG-PEN-026,TBG-PEN-028,TBG-PEN-029,TBG-PEN-031,TBG-PEN-032,TBG-PEN-033,TBG-PEN-035,TBG-PEN-036,TBG-PEN-037,TBG-PEN-038,TBG-PEN-039,TBG-PEN-040,TBG-PEN-041,TBG-PEN-042,TBG-PEN-043,TBG-PEN-044,TBG-PEN-045,TBG-PEN-046,TBG-PEN-047,TBG-PEN-048,TBG-PEN-049,TBG-PEN-050,TBG-PEN-051,TBG-PEN-053,TBG-PEN-054,TBG-PEN-055,TBG-PEN-056,TBG-PEN-057,TBG-PEN-058,TBG-PEN-059,TBG-PEN-060,TBG-CH-26,TBG-CH-27,TBG-CH-28,TBG-CH-29,TBG-CH-30,TBG-CH-31,TBG-CH-32,TBG-CH-33,TBG-BOT-34,TBG-BOT-35,TBG-BOT-37,TBG-BOT-38,TBG-BOT-39,TBG-BOT-40,TBG-BOT-41,TBG-CMUG-42,TBG-CMUG-43,TBG-CMUG-44,TBG-CMUG-45,TBG-CMUG-46,TBG-CMUG-47,TBG-CMUG-48,TBG-CMUG-49"
Minimalist Gifts,minimalist-gifts,"Clean, understated designs for brands that prefer simplicity and subtlety over bold branding.",,checked,,9,"TBG-DIA-001,TBG-COMBO-59,TBG-COMBO-60","TBG-DIA-001,TBG-COMBO-59,TBG-COMBO-60,TBG-HAM-82,TBG-HAM-83"
Budget,budget,Everyday gifting essentials that balance quality and cost for programmes of any size.,,,,10,,
